cell_id,group,color
nekfgafe-1,anterior forebrain,#CF8EB1
nekcmnbg-1,anterior forebrain,#CF8EB1
nejpogok-1,anterior forebrain,#CF8EB1
nehecaoa-1,anterior forebrain,#CF8EB1
nejmflaf-1,anterior forebrain,#CF8EB1
nmnhaflk-1,anterior forebrain,#CF8EB1
neainmba-1,anterior forebrain,#CF8EB1
nfjbfapp-1,anterior forebrain,#CF8EB1
nejpjfka-1,anterior forebrain,#CF8EB1
nfjfclpb-1,anterior forebrain,#CF8EB1
neaiheil-1,anterior forebrain,#CF8EB1
neigmpnl-1,anterior forebrain,#CF8EB1
nfjboilp-1,anterior forebrain,#CF8EB1
neaelipo-1,anterior forebrain,#CF8EB1
neakfcom-1,anterior forebrain,#CF8EB1
nealihjp-1,anterior forebrain,#CF8EB1
njhjldcb-1,anterior forebrain,#CF8EB1
nejmppbd-1,anterior forebrain,#CF8EB1
njinjnng-1,anterior forebrain,#CF8EB1
njhkcjfl-1,anterior forebrain,#CF8EB1
njieomnc-1,anterior forebrain,#CF8EB1
njiehehm-1,anterior forebrain,#CF8EB1
njhdhlcd-1,anterior forebrain,#CF8EB1
njhgkijk-1,anterior forebrain,#CF8EB1
nfhdcaci-1,anterior forebrain,#CF8EB1
nfjmalne-1,anterior forebrain,#CF8EB1
nfjlmjlh-1,anterior forebrain,#CF8EB1
nfjhbifl-1,anterior forebrain,#CF8EB1
nfjjifen-1,anterior forebrain,#CF8EB1
nfingmkj-1,anterior forebrain,#CF8EB1
nfiohjee-1,anterior forebrain,#CF8EB1
nebhbhal-1,anterior forebrain,#CF8EB1
nflpjfgp-1,anterior forebrain,#CF8EB1
nfllhifp-1,anterior forebrain,#CF8EB1
nfhkimfa-1,anterior forebrain,#CF8EB1
nflemekb-1,anterior forebrain,#CF8EB1
nfljonkc-1,anterior forebrain,#CF8EB1
nficidbe-1,anterior forebrain,#CF8EB1
nfhkafil-1,anterior forebrain,#CF8EB1
nficghdp-1,anterior forebrain,#CF8EB1
nflflama-1,anterior forebrain,#CF8EB1
nfiabama-1,anterior forebrain,#CF8EB1
nfjgcddn-1,anterior forebrain,#CF8EB1
nfjjbnlf-1,anterior forebrain,#CF8EB1
nfjlaace-1,anterior forebrain,#CF8EB1
nfhloppo-1,anterior forebrain,#CF8EB1
nfhjcjoo-1,anterior forebrain,#CF8EB1
nebphkkf-1,anterior forebrain,#CF8EB1
njikkakg-1,anterior forebrain,#CF8EB1
nfkoijlm-1,anterior forebrain,#CF8EB1
nflaabdd-1,anterior forebrain,#CF8EB1
nflaidfl-1,anterior forebrain,#CF8EB1
njigjfhb-1,anterior forebrain,#CF8EB1
njihalnb-1,anterior forebrain,#CF8EB1
nmnfogdg-1,anterior forebrain,#CF8EB1
nflkggkc-1,anterior forebrain,#CF8EB1
nfmcbjao-1,anterior forebrain,#CF8EB1
nmnhnfag-1,anterior forebrain,#CF8EB1
nfibacoa-1,anterior forebrain,#CF8EB1
nfhphleg-1,anterior forebrain,#CF8EB1
njhdgehk-1,anterior forebrain,#CF8EB1
neckpgfc-1,anterior forebrain,#CF8EB1
nebkpcnm-1,anterior forebrain,#CF8EB1
nechfnbl-1,anterior forebrain,#CF8EB1
nechlmco-1,anterior forebrain,#CF8EB1
njiklhgp-1,anterior forebrain,#CF8EB1
neccbcoe-1,anterior forebrain,#CF8EB1
nebbdfon-1,anterior forebrain,#CF8EB1
necfaila-1,anterior forebrain,#CF8EB1
njielknb-1,anterior forebrain,#CF8EB1
necfnepp-1,anterior forebrain,#CF8EB1
nfilbhmh-1,anterior forebrain,#CF8EB1
nfijnjja-1,anterior forebrain,#CF8EB1
nfhbjejg-1,anterior forebrain,#CF8EB1
nfhgnjkk-1,anterior forebrain,#CF8EB1
nfheifah-1,anterior forebrain,#CF8EB1
nfijjlmb-1,anterior forebrain,#CF8EB1
nebnindd-1,anterior forebrain,#CF8EB1
neclaajl-1,anterior forebrain,#CF8EB1
necabpie-1,anterior forebrain,#CF8EB1
neblonkb-1,anterior forebrain,#CF8EB1
nebpahgm-1,anterior forebrain,#CF8EB1
neapnhin-1,anterior forebrain,#CF8EB1
nehdalmb-1,anterior forebrain,#CF8EB1
njhbfdoh-1,anterior forebrain,#CF8EB1
ndpobhoo-1,anterior forebrain,#CF8EB1
nekihpbf-1,anterior forebrain,#CF8EB1
njimpfgn-1,anterior forebrain,#CF8EB1
ndpnojgg-1,anterior forebrain,#CF8EB1
njibfpih-1,anterior forebrain,#CF8EB1
nekioiaf-1,anterior forebrain,#CF8EB1
nekflico-1,anterior forebrain,#CF8EB1
njjmioag-1,anterior forebrain,#CF8EB1
nehddofe-1,anterior forebrain,#CF8EB1
nehapgpf-1,anterior forebrain,#CF8EB1
negmhmgn-1,anterior forebrain,#CF8EB1
njjljchi-1,anterior forebrain,#CF8EB1
njkcjmbh-1,anterior forebrain,#CF8EB1
njifefge-1,anterior forebrain,#CF8EB1
nebjjjnn-1,anterior forebrain,#CF8EB1
njhjjfec-1,anterior forebrain,#CF8EB1
nebidgea-1,anterior forebrain,#CF8EB1
njkgeadj-1,anterior forebrain,#CF8EB1
nebjgdbi-1,anterior forebrain,#CF8EB1
njkcmnaf-1,anterior forebrain,#CF8EB1
njkdpipn-1,anterior forebrain,#CF8EB1
njjfdepi-1,anterior forebrain,#CF8EB1
njjcpimc-1,anterior forebrain,#CF8EB1
njkphilm-1,anterior forebrain,#CF8EB1
njlagajd-1,anterior forebrain,#CF8EB1
njpnfckl-1,anterior forebrain,#CF8EB1
neapinfa-1,anterior forebrain,#CF8EB1
njkcdodk-1,anterior forebrain,#CF8EB1
ndpmmaip-1,anterior forebrain,#CF8EB1
njjpncbp-1,anterior forebrain,#CF8EB1
nechekhm-1,anterior forebrain,#CF8EB1
neckdjpl-1,anterior forebrain,#CF8EB1
ndppdlkk-1,anterior forebrain,#CF8EB1
neclblpd-1,anterior forebrain,#CF8EB1
neadcmeo-1,anterior forebrain,#CF8EB1
necihpfb-1,anterior forebrain,#CF8EB1
nkaanbga-1,anterior forebrain,#CF8EB1
nkafmihf-1,anterior forebrain,#CF8EB1
nkacgdgd-1,anterior forebrain,#CF8EB1
nkafnjhk-1,anterior forebrain,#CF8EB1
nkafapci-1,anterior forebrain,#CF8EB1
nkagjakj-1,anterior forebrain,#CF8EB1
njjnknon-1,anterior forebrain,#CF8EB1
njebjhal-1,anterior forebrain,#CF8EB1
njgecjho-1,anterior forebrain,#CF8EB1
oaklnlmk-1,anterior forebrain,#CF8EB1
oadhjdnk-1,anterior forebrain,#CF8EB1
oafkkbgj-1,anterior forebrain,#CF8EB1
nplfagbh-1,anterior forebrain,#CF8EB1
nplemmna-1,anterior forebrain,#CF8EB1
nplfepej-1,anterior forebrain,#CF8EB1
nmcfjcce-1,anterior forebrain,#CF8EB1
nmcdcamh-1,anterior forebrain,#CF8EB1
oaclikog-1,anterior forebrain,#CF8EB1
oacmgfah-1,anterior forebrain,#CF8EB1
oacbbkdj-1,anterior forebrain,#CF8EB1
oacpnfcb-1,anterior forebrain,#CF8EB1
oacgbjbi-1,anterior forebrain,#CF8EB1
oacbccfk-1,anterior forebrain,#CF8EB1
oabmhhba-1,anterior forebrain,#CF8EB1
nlhkicim-1,anterior forebrain,#CF8EB1
nmcnpgfj-1,anterior forebrain,#CF8EB1
oaeneiko-1,anterior forebrain,#CF8EB1
oafjihcj-1,anterior forebrain,#CF8EB1
oafkpmmf-1,anterior forebrain,#CF8EB1
nmcacjcn-1,anterior forebrain,#CF8EB1
