cell_id,group
cgmbdlge-1,translumenal cells III (posterior-lower)
cgmfhmhj-1,translumenal cells III (posterior-lower)
cgmjgngd-1,translumenal cells III (posterior-lower)
cgmncebm-1,translumenal cells III (posterior-lower)
cgmndncc-1,translumenal cells III (posterior-lower)
cgmpmnjn-1,translumenal cells III (posterior-lower)
cgnblcdj-1,translumenal cells III (posterior-lower)
cgncdona-1,translumenal cells III (posterior-lower)
cgnefnpp-1,translumenal cells III (posterior-lower)
cgnfafpe-1,translumenal cells III (posterior-lower)
cgnlgmcj-1,translumenal cells III (posterior-lower)
cgnminna-1,translumenal cells III (posterior-lower)
cgnphjkl-1,translumenal cells III (posterior-lower)
cgnpmbap-1,translumenal cells III (posterior-lower)
cgoccmlm-1,translumenal cells III (posterior-lower)
cgochkam-1,translumenal cells III (posterior-lower)
cgondlhl-1,translumenal cells III (posterior-lower)
cgoohipb-1,translumenal cells III (posterior-lower)
cgoonhpl-1,translumenal cells III (posterior-lower)
cgpahpgo-1,translumenal cells III (posterior-lower)
cgpapfjf-1,translumenal cells III (posterior-lower)
cgpdjgmn-1,translumenal cells III (posterior-lower)
cgpecihc-1,translumenal cells III (posterior-lower)
cgpfdeii-1,translumenal cells III (posterior-lower)
cgpfebbl-1,translumenal cells III (posterior-lower)
cgpkeemd-1,translumenal cells III (posterior-lower)
cgpofbpb-1,translumenal cells III (posterior-lower)
chbklodo-1,translumenal cells III (posterior-lower)
chbkmoki-1,translumenal cells III (posterior-lower)
chbmmfeg-1,translumenal cells III (posterior-lower)
chcbaooj-1,translumenal cells III (posterior-lower)
chcccdgn-1,translumenal cells III (posterior-lower)
chccoagp-1,translumenal cells III (posterior-lower)
chcgjonm-1,translumenal cells III (posterior-lower)
chcialim-1,translumenal cells III (posterior-lower)
chcimkki-1,translumenal cells III (posterior-lower)
chclbiaj-1,translumenal cells III (posterior-lower)
chcmhnla-1,translumenal cells III (posterior-lower)
chcmmmgj-1,translumenal cells III (posterior-lower)
chdialee-1,translumenal cells III (posterior-lower)
chdingnp-1,translumenal cells III (posterior-lower)
chjbcblc-1,translumenal cells III (posterior-lower)
chjficid-1,translumenal cells III (posterior-lower)
chjfphmj-1,translumenal cells III (posterior-lower)
chjklija-1,translumenal cells III (posterior-lower)
chjpigoo-1,translumenal cells III (posterior-lower)
chkhbemi-1,translumenal cells III (posterior-lower)
choldace-1,translumenal cells III (posterior-lower)
chonacel-1,translumenal cells III (posterior-lower)
chooinib-1,translumenal cells III (posterior-lower)
chpnfffm-1,translumenal cells III (posterior-lower)
ciabmffk-1,translumenal cells III (posterior-lower)
ciadpncf-1,translumenal cells III (posterior-lower)
ciahhcae-1,translumenal cells III (posterior-lower)
ciaklfcp-1,translumenal cells III (posterior-lower)
cialdefb-1,translumenal cells III (posterior-lower)
cialmcjk-1,translumenal cells III (posterior-lower)
ciamfepe-1,translumenal cells III (posterior-lower)
ciamolgg-1,translumenal cells III (posterior-lower)
cianmoge-1,translumenal cells III (posterior-lower)
cicomndg-1,translumenal cells III (posterior-lower)
cidcmmkk-1,translumenal cells III (posterior-lower)
cieeamdc-1,translumenal cells III (posterior-lower)
cigcjhbb-1,translumenal cells III (posterior-lower)
cigkfloh-1,translumenal cells III (posterior-lower)
cihpinee-1,translumenal cells III (posterior-lower)
ciichgda-1,translumenal cells III (posterior-lower)
ciiclidd-1,translumenal cells III (posterior-lower)
ciicnbih-1,translumenal cells III (posterior-lower)
ciienjbf-1,translumenal cells III (posterior-lower)
